hyb	chr_num	allele	cell_id	z	x	y	z.hat	x.hat	y.hat
17	1715	CAST	11035	5244.02600320494	206847.62912085	170669.617311229	27.9808998057162	1899.17370844821	1564.40722090559
18	1715	CAST	11035	4342.32070500265	206739.711703662	170644.724220529	23.4723733147047	1898.18364040061	1564.1788439267
21	1715	CAST	11035	5047.69828995576	206704.320697802	170554.075962741	26.9992612394703	1897.85895227346	1563.34720853414
23	1715	CAST	11035	5137.43003377891	206689.25953268	170589.472809431	27.4479199585861	1897.72077644665	1563.6719502469
25	1715	CAST	11035	5344.90733438628	207031.48690188	170734.026693828	28.4853064616229	1900.86047708151	1564.99813267255
31	1715	CAST	11035	5075.75241653052	206588.281846519	170802.709403989	27.1395318723441	1896.79437565618	1565.62824927954
32	1715	CAST	11035	5025.06369610773	207024.728117036	170743.796273969	26.8860882702302	1900.79846988111	1565.08776184816
34	1715	CAST	11035	5032.75542231773	206911.489997503	170760.062581297	26.9245469012801	1899.75958805053	1565.23699402548
35	1715	CAST	11035	5075.40955313746	206821.861303418	170663.976278469	27.1378175553788	1898.93730645342	1564.35546831147
36	1715	CAST	11035	5143.49833157493	206909.633583287	170756.578873043	27.4782614475661	1899.74255672744	1565.2050333993
37	1715	CAST	11035	5334.64788835831	206918.815917655	170805.168600555	28.4340092314831	1899.82679832715	1565.65081071593
38	1715	CAST	11035	5090.04134819411	206741.381329528	170635.991674776	27.210976530662	1898.19895806911	1564.09872882804
39	1715	CAST	11035	5472.39073719485	206971.629373639	170748.247911334	29.1227234756657	1900.31132544628	1565.12860255793
40	1715	CAST	11035	5565.49694183406	206918.680936298	170781.601276174	29.5882544988618	1899.82555996608	1565.43459673078
5	1759	CAST	12013	2985.57066086392	141069.879500201	40234.4964025926	16.6886230940111	1295.70811559822	367.75473550526
6	1759	CAST	12013	2949.61265707766	141131.683907953	40263.4083015369	16.5088330750798	1296.27512851337	368.019982284566
7	1759	CAST	12013	3007.13045744381	141169.254002644	40347.0995560797	16.7964220769105	1296.61980828118	368.78779195927
8	1759	CAST	12013	2949.14353484963	141146.767697851	40214.406514806	16.5064874639396	1296.41351190693	367.570424608135
12	1759	CAST	12013	3704.69456894064	141246.608933025	40369.3248792254	20.2842426343947	1297.32948654155	368.991694006478
13	1759	CAST	12013	3457.69456916119	141230.693778042	40616.0871898945	19.0492426354975	1297.18347594538	371.255568416286
15	1759	CAST	12013	3623.15319302201	140985.171015463	40529.33555741	19.8765357548016	1294.9309735364	370.459681879732
16	1759	CAST	12013	3621.11287336661	140998.524586764	40438.7072215246	19.8663341565246	1295.05348336485	369.62822925693
17	1759	CAST	12013	3581.48779348706	140999.764319904	40393.6514606505	19.6682087571268	1295.06485706338	369.21487365258
18	1759	CAST	12013	3948.71067946163	141195.530440749	40503.0441742284	21.5043231869997	1296.86087652067	370.218476529441
19	1759	CAST	12013	3938.52957379835	141132.994702296	40489.6048016353	21.4534176586833	1296.28715414955	370.095179533175
20	1759	CAST	12013	3464.20115895821	141522.404667994	40347.8516204544	19.0817755844826	1299.85972264219	368.794691632433
21	1759	CAST	12013	4003.12576724093	141304.666665562	40564.7444564198	21.7763986258961	1297.86212628961	370.784534164225
22	1759	CAST	12013	3274.37605833717	141019.140605352	40648.3254823501	18.1326500813774	1295.24262115006	371.551332567255
25	1759	CAST	12013	3508.00465809263	141324.221130754	40166.4926658985	19.3007930801546	1298.04152505283	367.130848012654
27	1759	CAST	12013	3411.66760043328	141261.803165887	40280.047999433	18.8191077918579	1297.46888317332	368.172640063429
28	1759	CAST	12013	3335.85189250416	141288.713617599	40288.098665278	18.4400292522123	1297.71576805141	368.246499383107
31	1759	CAST	12013	3459.7200611108	141399.848053192	40438.4074542426	19.0593700952455	1298.73535002932	369.625479098379
32	1759	CAST	12013	3450.80920434396	141293.562913314	40464.0453253412	19.0148158114113	1297.76025700292	369.860688924972
33	1759	CAST	12013	3549.28893745628	141212.624416611	40480.4142846014	19.5072144769729	1297.0177019873	370.010862863139
34	1759	CAST	12013	3500.96855866013	141204.331708109	40430.4134652199	19.2656125829921	1296.94162209278	369.552139749547
35	1759	CAST	12013	3444.03277982001	141221.547790962	40436.9109024193	18.9809336887916	1297.09956780704	369.611749265138
36	1759	CAST	12013	3528.35382617518	141203.218403287	40481.1276349054	19.4025389205674	1296.93140828708	370.017407361341
37	1759	CAST	12013	3501.75002521326	141176.779912289	40438.2050367988	19.2695199157578	1296.68885332379	369.623622057611
38	1759	CAST	12013	3278.88512613944	141266.114394863	40358.8264993429	18.1551954203887	1297.50843573273	368.895378594712
39	1759	CAST	12013	3363.37829718518	141241.704358287	40299.6119592107	18.5776612756174	1297.28449044305	368.352125932949
40	1759	CAST	12013	3302.92872019528	141145.540478463	40243.6942512491	18.2754133906679	1296.40225301346	367.839119437889
3	1762	CAST	12015	1833.14521486992	53572.1437690599	43307.4850755449	10.9264958640411	492.976595129034	395.94729213785
4	1762	CAST	12015	1992.8618915971	53622.6891401935	43341.2536922239	11.725079247677	493.440314130259	396.257095960593
5	1762	CAST	12015	2048.4417485437	53553.73056028	43419.9956087602	12.00297853241	492.807666608117	396.979498864596
6	1762	CAST	12015	2018.83293161277	53562.0195079971	43409.9773566742	11.8549344477553	492.883712000017	396.887588295
7	1762	CAST	12015	2023.5893022461	53599.8170796119	43365.1702868361	11.878716300922	493.230478712079	396.476514259788
9	1762	CAST	12015	2334.46558722468	53519.4780861239	43349.3582938859	13.4330977258149	492.493423725951	396.331450104281
10	1762	CAST	12015	2201.59029665561	53643.5953015231	43473.7251603852	12.7687212729696	493.632113775485	397.47243053088
11	1762	CAST	12015	2196.94920169601	53654.5400255828	43546.0879575561	12.7455157981715	493.732524087959	398.136309404007
12	1762	CAST	12015	2059.26706053466	53677.6171340407	43397.7399969882	12.0571050923648	493.944240679316	396.775318940082
