cell_id	pos	x	y	z
23	38.0	144713.737200922	67143.7223514828	4224.28633311779
23	39.0	144708.68705718	66971.0780779141	4085.61449867036
23	40.0	144717.850662504	67035.6316981591	4111.04007729736
26	0.0	160120.019523281	70381.3817512982	2657.02923458206
26	1.0	160152.600109365	70357.6046297199	2668.56928339412
26	2.0	160185.409167726	70397.5226951456	2562.95014130151
26	3.0	160146.1369684	70410.8599475342	2425.24120163162
26	4.0	160106.86476907402	70424.19719992281	2287.5322619617295
26	5.0	160067.59256974803	70437.53445231142	2149.8233222918393
26	6.0	159741.02256802752	70608.8006687382	3030.2165622427947
26	7.0	159854.889843081	70655.146502688	2915.21369844531
26	8.0	159968.7571181345	70701.4923366378	2800.2108346478253
26	9.0	160082.624393188	70747.8381705876	2685.20797085034
26	10.0	160018.526752849	70788.5482604432	2779.44649265913
26	11.0	159952.143311572	70756.1495085403	2964.4707251053
26	12.0	159859.444280414	70704.376721282	3204.82525673516
26	13.0	159849.859262735	70684.6814306098	3028.86298790781
26	14.0	159963.981462837	70760.0423277603	3205.15574793112
26	15.0	159898.755410453	70766.2468806643	3115.33359455536
26	16.0	159772.823317572	70770.4035243762	3007.73785808371
26	17.0	159852.655636348	70763.0357139748	3042.83313614648
26	18.0	160077.447654177	70798.5633671333	2807.28501354662
26	19.0	159832.088244238	70827.5200484735	2791.58310201589
26	20.0	159916.174261302	70756.2560579253	3039.75002031628
26	21.0	160489.797310864	70694.9225573226	2763.58905858758
26	22.0	160552.299212809	70740.51202770081	2701.0449678156847
26	23.0	160614.801114754	70786.101498079	2638.50087704379
26	24.0	159958.264844847	70774.8967002825	2903.72088100373
26	25.0	159971.312244131	70751.6250815888	3049.21090875707
26	26.0	160007.481431263	70749.0754173372	2891.25860618486
26	27.0	160098.922123992	70845.3313468823	2986.11240946001
26	28.0	160015.960017277	70797.4119441121	2973.97460433651
26	29.0	160044.949169371	70808.1208816324	2880.86691596642
26	30.0	160163.935827182	70805.3143864396	2957.70205093505
26	31.0	159847.090657315	70540.82451468	3060.58378938785
